
--- CSV DUMP START ---
time_s,dt_s,gx_deg_s,gy_deg_s,gz_deg_s,omega_roll_deg_s,roll_gyro_deg
2.102000,0.008000,1.831055,2.807617,1.647949,1.831055,3.732366
2.111000,0.009000,1.831055,2.807617,1.586914,1.831055,3.748846
2.119000,0.008000,1.831055,2.807617,1.647949,1.831055,3.763494
2.128000,0.009000,1.708984,2.624512,1.770020,1.708984,3.778875
2.136000,0.008000,1.831055,2.624512,1.647949,1.831055,3.793523
2.145000,0.009000,1.770020,2.685547,1.525879,1.770020,3.809453
2.153000,0.008000,1.770020,2.746582,1.770020,1.770020,3.823614
2.161000,0.008000,1.708984,2.624512,1.708984,1.708984,3.837286
2.170000,0.009000,1.831055,2.807617,1.708984,1.831055,3.853765
2.178000,0.008000,1.770020,2.746582,1.770020,1.770020,3.867925
2.187000,0.009000,1.647949,2.624512,1.708984,1.647949,3.882757
2.195000,0.008000,1.770020,2.685547,1.770020,1.770020,3.896917
2.204000,0.009000,1.892090,2.746582,1.770020,1.892090,3.913946
2.212000,0.008000,1.953125,2.746582,1.770020,1.953125,3.929571
2.221000,0.009000,1.770020,2.746582,1.708984,1.770020,3.945501
2.229000,0.008000,1.831055,2.685547,1.647949,1.831055,3.960149
2.238000,0.009000,1.770020,2.746582,1.708984,1.770020,3.976079
2.246000,0.008000,1.831055,2.685547,1.586914,1.831055,3.990728
2.254000,0.008000,1.770020,2.746582,1.586914,1.770020,4.004888
2.263000,0.009000,1.770020,2.807617,1.831055,1.770020,4.020818
2.271000,0.008000,1.831055,2.807617,1.831055,1.831055,4.035467
2.280000,0.009000,1.770020,2.746582,1.770020,1.770020,4.051397
2.288000,0.008000,1.892090,2.807617,1.647949,1.892090,4.066534
2.297000,0.009000,1.770020,2.746582,1.464844,1.770020,4.082464
2.305000,0.008000,1.770020,2.563477,1.708984,1.770020,4.096624
2.314000,0.009000,1.831055,2.685547,1.647949,1.831055,4.113103
2.322000,0.008000,1.770020,2.685547,1.770020,1.770020,4.127264
2.331000,0.009000,1.831055,2.563477,1.708984,1.831055,4.143743
2.339000,0.008000,1.892090,2.563477,1.647949,1.892090,4.158880
2.347000,0.008000,1.708984,2.746582,1.770020,1.708984,4.172552
2.356000,0.009000,1.708984,2.807617,1.831055,1.708984,4.187932
2.364000,0.008000,1.770020,2.685547,1.831055,1.770020,4.202093
2.373000,0.009000,1.831055,2.746582,1.770020,1.831055,4.218572
2.381000,0.008000,1.831055,2.685547,1.770020,1.831055,4.233221
2.390000,0.009000,1.770020,2.624512,1.770020,1.770020,4.249151
2.398000,0.008000,1.770020,2.746582,1.708984,1.770020,4.263311
2.407000,0.009000,1.708984,2.685547,1.586914,1.708984,4.278692
2.415000,0.008000,1.708984,2.685547,1.525879,1.708984,4.292364
2.424000,0.009000,1.831055,2.929688,1.647949,1.831055,4.308843
2.432000,0.008000,1.892090,2.746582,1.708984,1.892090,4.323980
2.440000,0.008000,1.831055,2.624512,1.708984,1.831055,4.338628
2.449000,0.009000,1.770020,2.563477,1.770020,1.770020,4.354558
2.457000,0.008000,1.770020,2.624512,1.647949,1.770020,4.368719
2.466000,0.009000,1.831055,2.624512,1.708984,1.831055,4.385198
2.584000,0.118029,1.708984,2.624512,1.647949,1.708984,4.586908
2.593000,0.008971,1.708984,2.868652,1.708984,1.708984,4.602239
2.601000,0.008000,1.831055,2.685547,1.708984,1.831055,4.616888
2.610000,0.009000,1.708984,2.563477,1.770020,1.708984,4.632268
