
--- CSV DUMP START ---
time_s,dt_s,ax_g,ay_g,az_g,roll_acc_deg
2.018000,0.009000,-0.083618,0.011353,1.000488,-0.647849
2.026000,0.008000,-0.082764,0.011719,1.000488,-0.668792
2.144000,0.118041,-0.082764,0.011719,0.999878,-0.669198
2.153000,0.008959,-0.083252,0.010864,0.999878,-0.620381
2.161000,0.008000,-0.082520,0.010986,1.000488,-0.627009
2.170000,0.009000,-0.082642,0.011719,1.000366,-0.668880
2.178000,0.008000,-0.083740,0.010864,1.000000,-0.620281
2.187000,0.009000,-0.082886,0.010742,1.000366,-0.613132
2.195000,0.008000,-0.084106,0.011108,1.000488,-0.633892
2.204000,0.009000,-0.083252,0.010376,0.999878,-0.592501
2.212000,0.008000,-0.083130,0.011230,1.000122,-0.641142
2.220000,0.008000,-0.082764,0.011963,1.000366,-0.682807
2.229000,0.009000,-0.082275,0.011597,1.000488,-0.661853
2.237000,0.008000,-0.082642,0.011475,1.000488,-0.654867
2.246000,0.009000,-0.083008,0.010986,0.999390,-0.627668
2.254000,0.008000,-0.082520,0.011719,1.000488,-0.668806
2.263000,0.009000,-0.083374,0.010742,1.000488,-0.613033
2.271000,0.008000,-0.082642,0.010620,1.000488,-0.606104
2.280000,0.009000,-0.082397,0.011719,1.000488,-0.668812
2.288000,0.008000,-0.083008,0.011230,1.000610,-0.640838
2.297000,0.009000,-0.082397,0.010986,1.000366,-0.627091
2.305000,0.008000,-0.082764,0.011475,1.000122,-0.655099
2.313000,0.008000,-0.083862,0.011230,1.000488,-0.640870
2.322000,0.009000,-0.083984,0.010986,1.000488,-0.626933
2.330000,0.008000,-0.083618,0.010864,1.000488,-0.619986
2.339000,0.009000,-0.083130,0.010742,1.000488,-0.613046
2.347000,0.008000,-0.083130,0.010986,1.000488,-0.626977
2.356000,0.009000,-0.082153,0.012085,1.000488,-0.689725
2.364000,0.008000,-0.083618,0.011230,1.000000,-0.641194
2.373000,0.009000,-0.083374,0.011475,1.000366,-0.654907
2.381000,0.008000,-0.082642,0.010376,1.000488,-0.592172
2.390000,0.009000,-0.083862,0.011719,1.000488,-0.668732
2.398000,0.008000,-0.083740,0.011597,0.999756,-0.662254
2.406000,0.008000,-0.083008,0.010376,1.000366,-0.592225
2.415000,0.009000,-0.083374,0.011108,1.000366,-0.634007
2.423000,0.008000,-0.083008,0.011353,1.000488,-0.647881
2.432000,0.009000,-0.082764,0.010986,1.000488,-0.626996
2.440000,0.008000,-0.083130,0.010864,1.000488,-0.620011
2.449000,0.009000,-0.083252,0.010864,1.000366,-0.620080
2.457000,0.008000,-0.083008,0.011719,1.000488,-0.668779
2.466000,0.009000,-0.083862,0.010498,1.000366,-0.599150
2.474000,0.008000,-0.083008,0.011475,1.000488,-0.654847
2.483000,0.009000,-0.082397,0.011475,1.000488,-0.654880
2.491000,0.008000,-0.083740,0.011475,1.000488,-0.654808
2.499000,0.008000,-0.082520,0.010864,1.000122,-0.620268
2.508000,0.009000,-0.082642,0.010254,0.999023,-0.586058
2.516000,0.008000,-0.083374,0.011597,1.000488,-0.661793
2.525000,0.009000,-0.083252,0.011597,1.000122,-0.662040
2.533000,0.008000,-0.081665,0.011597,1.000122,-0.662126
2.542000,0.009000,-0.081177,0.011597,0.998169,-0.663440
2.550000,0.008000,-0.082275,0.010742,0.999634,-0.613609
2.559000,0.009000,-0.083130,0.011108,1.000366,-0.634020
2.582000,0.023034,-0.082642,0.011230,0.999878,-0.641323
2.589000,0.006986,-0.082886,0.011475,1.000244,-0.655013
2.596000,0.007000,-0.082886,0.012085,1.000366,-0.689767
2.603000,0.007000,-0.083862,0.011597,1.000610,-0.661686
2.610000,0.007000,-0.083984,0.011353,1.000366,-0.647907
2.618000,0.007980,-0.082886,0.010986,0.999756,-0.627446
2.626000,0.008000,-0.083130,0.011230,1.000366,-0.640987
2.635000,0.009000,-0.083252,0.012329,1.000366,-0.703679
2.643000,0.008000,-0.082153,0.011597,1.000244,-0.662020
2.652000,0.009000,-0.081909,0.010864,1.000000,-0.620374
2.660000,0.008000,-0.083740,0.011597,1.000366,-0.661853
2.669000,0.009000,-0.083374,0.011108,1.000488,-0.633930
2.677000,0.008000,-0.083984,0.010620,0.999756,-0.606478
2.685000,0.008000,-0.083008,0.010620,1.000366,-0.606159
2.694000,0.009000,-0.082764,0.011230,1.000122,-0.641161
2.702000,0.008000,-0.082886,0.010864,0.999878,-0.620400
2.711000,0.009000,-0.082153,0.011230,1.000244,-0.641116
2.719000,0.008000,-0.082397,0.011108,1.000366,-0.634058
2.728000,0.009000,-0.082520,0.011597,1.000000,-0.662161
2.736000,0.008000,-0.083618,0.011841,1.000244,-0.675874
2.745000,0.009000,-0.083984,0.010986,1.000366,-0.627009
2.753000,0.008000,-0.082764,0.010986,1.000244,-0.627148
2.762000,0.009000,-0.082886,0.010986,1.000366,-0.627066
2.770000,0.008000,-0.082153,0.010986,1.000244,-0.627180
2.778000,0.008000,-0.082275,0.011353,1.000488,-0.647920
2.787000,0.009000,-0.083252,0.010986,1.000244,-0.627123
2.795000,0.008000,-0.083374,0.011108,1.000366,-0.634007
2.804000,0.009000,-0.083130,0.010132,0.999634,-0.578707
2.812000,0.008000,-0.082520,0.011230,1.000488,-0.640941
2.821000,0.009000,-0.082764,0.010986,1.000122,-0.627224
2.829000,0.008000,-0.082764,0.010132,1.000488,-0.578233
2.838000,0.009000,-0.082764,0.010986,1.000244,-0.627148
2.846000,0.008000,-0.082764,0.011230,1.000488,-0.640928
2.855000,0.009000,-0.083252,0.010742,1.000488,-0.613039
2.863000,0.008000,-0.083008,0.011597,1.000366,-0.661893
2.871000,0.008000,-0.082886,0.010864,1.000000,-0.620325
2.880000,0.009000,-0.083618,0.011841,0.999634,-0.676284
2.888000,0.008000,-0.083130,0.011719,1.000488,-0.668772
2.897000,0.009000,-0.082886,0.010986,1.000122,-0.627218
2.905000,0.008000,-0.083984,0.011597,1.000244,-0.661920
2.914000,0.009000,-0.083374,0.011108,1.000488,-0.633930
2.922000,0.008000,-0.082642,0.010376,1.000366,-0.592243
2.931000,0.009000,-0.081787,0.010498,0.999634,-0.599688
2.939000,0.008000,-0.082153,0.011719,1.000000,-0.669150
2.948000,0.009000,-0.083252,0.011353,1.000244,-0.648025
2.956000,0.008000,-0.082642,0.011108,1.000488,-0.633969
2.964000,0.008000,-0.082764,0.011475,0.999878,-0.655257
2.973000,0.009000,-0.082275,0.010864,1.000488,-0.620055
2.981000,0.008000,-0.082520,0.011841,1.000488,-0.675772
2.990000,0.009000,-0.083008,0.011108,1.000488,-0.633950
3.107000,0.117041,-0.083374,0.010254,1.000488,-0.585170
3.117000,0.009959,-0.082520,0.012085,1.000488,-0.689704
3.125000,0.008000,-0.083374,0.011841,1.000488,-0.675724
3.134000,0.009000,-0.082275,0.011353,1.000488,-0.647920
3.142000,0.008000,-0.082764,0.011963,1.000488,-0.682724
3.151000,0.009000,-0.083740,0.011841,1.000488,-0.675704
3.159000,0.008000,-0.082764,0.011230,1.000488,-0.640928
3.167000,0.008000,-0.084106,0.011719,1.000366,-0.668799
3.176000,0.009000,-0.083374,0.011108,1.000122,-0.634161
3.184000,0.008000,-0.083008,0.011108,1.000488,-0.633950
3.193000,0.009000,-0.082642,0.011230,1.000366,-0.641012
3.201000,0.008000,-0.081909,0.012085,0.999756,-0.690240
3.210000,0.009000,-0.083252,0.010620,1.000122,-0.606294
3.218000,0.008000,-0.083008,0.011475,0.999023,-0.655801
3.227000,0.009000,-0.083252,0.010986,1.000488,-0.626971
3.235000,0.008000,-0.083496,0.010986,1.000122,-0.627186
3.244000,0.009000,-0.082275,0.011230,1.000244,-0.641109
3.252000,0.008000,-0.083374,0.011353,1.000366,-0.647940
3.260000,0.008000,-0.081909,0.010498,0.999634,-0.599682
3.269000,0.009000,-0.082031,0.011475,1.000488,-0.654900
3.277000,0.008000,-0.083740,0.011353,0.999390,-0.648549
3.286000,0.009000,-0.083374,0.011475,1.000488,-0.654827
3.294000,0.008000,-0.082275,0.010864,0.999756,-0.620506
3.303000,0.009000,-0.082764,0.010986,1.000366,-0.627072
3.311000,0.008000,-0.083008,0.011108,1.000000,-0.634257
3.320000,0.009000,-0.083496,0.011597,1.000244,-0.661947
3.328000,0.008000,-0.082397,0.011475,0.999756,-0.655357
3.337000,0.009000,-0.081909,0.011108,0.999756,-0.634468
3.345000,0.008000,-0.082397,0.011230,1.000122,-0.641181
3.353000,0.008000,-0.082275,0.011353,1.000488,-0.647920
3.362000,0.009000,-0.082764,0.011963,1.000122,-0.682972
3.370000,0.008000,-0.082275,0.010986,0.999634,-0.627554
3.379000,0.009000,-0.082642,0.011719,1.000488,-0.668799
3.387000,0.008000,-0.082520,0.011475,1.000488,-0.654873
3.396000,0.009000,-0.083130,0.011597,1.000366,-0.661887
3.404000,0.008000,-0.082275,0.010620,1.000366,-0.606196
3.413000,0.009000,-0.083130,0.011353,1.000122,-0.648110
3.421000,0.008000,-0.083252,0.010986,1.000488,-0.626971
3.430000,0.009000,-0.082886,0.011108,1.000366,-0.634033
3.438000,0.008000,-0.083008,0.011353,1.000000,-0.648196
3.446000,0.008000,-0.083252,0.011963,1.000488,-0.682697
3.455000,0.009000,-0.082520,0.011230,1.000732,-0.640786
3.463000,0.008000,-0.083008,0.011108,1.000000,-0.634257
3.472000,0.009000,-0.083496,0.011353,1.000244,-0.648012
3.480000,0.008000,-0.082153,0.011230,1.000244,-0.641116
3.489000,0.009000,-0.082764,0.010376,1.000366,-0.592237
3.497000,0.008000,-0.082764,0.010742,1.000000,-0.613361
3.506000,0.009000,-0.083008,0.011353,1.000122,-0.648117
3.514000,0.008000,-0.082642,0.011719,1.000366,-0.668880
3.523000,0.009000,-0.083740,0.011597,0.999756,-0.662254
3.631000,0.108041,-0.083130,0.011963,0.999878,-0.683117
