
--- CSV DUMP START ---
time_s,dt_s,omega_meas_deg_s,omega_corr_deg_s,roll_biased_deg,roll_unbiased_deg
25.804001,0.008000,1.831055,0.003389,14.623504,-0.254155
25.813002,0.009000,1.831055,0.003389,14.639983,-0.254124
25.821001,0.008000,1.831055,0.003389,14.654632,-0.254097
25.830002,0.009000,1.708984,-0.118682,14.670012,-0.255165
25.838001,0.008000,1.770020,-0.057647,14.684173,-0.255627
25.846001,0.008000,1.708984,-0.118682,14.697845,-0.256576
25.855001,0.009000,1.647949,-0.179717,14.712676,-0.258194
25.863001,0.008000,1.708984,-0.118682,14.726348,-0.259143
25.872002,0.009000,1.770020,-0.057647,14.742278,-0.259662
25.880001,0.008000,1.770020,-0.057647,14.756438,-0.260123
25.889002,0.009000,1.708984,-0.118682,14.771819,-0.261191
25.897001,0.008000,1.831055,0.003389,14.786468,-0.261164
25.906002,0.009000,1.892090,0.064424,14.803496,-0.260584
25.914001,0.008000,1.831055,0.003389,14.818145,-0.260557
25.923000,0.009000,1.831055,0.003389,14.834624,-0.260527
25.931002,0.008000,1.831055,0.003389,14.849273,-0.260499
25.939001,0.008000,1.831055,0.003389,14.863921,-0.260472
25.948002,0.009000,1.770020,-0.057647,14.879851,-0.260991
25.956001,0.008000,1.831055,0.003389,14.894500,-0.260964
25.965002,0.009000,1.953125,0.125459,14.912078,-0.259835
25.973001,0.008000,1.770020,-0.057647,14.926238,-0.260296
25.982000,0.009000,1.708984,-0.118682,14.941619,-0.261364
25.990002,0.008000,1.770020,-0.057647,14.955779,-0.261825
25.999001,0.009000,1.831055,0.003389,14.972259,-0.261795
26.007002,0.008000,1.831055,0.003389,14.986907,-0.261768
26.016001,0.009000,1.770020,-0.057647,15.002837,-0.262287
26.024002,0.008000,1.770020,-0.057647,15.016997,-0.262748
26.032001,0.008000,1.892090,0.064424,15.032134,-0.262232
26.041000,0.009000,1.770020,-0.057647,15.048064,-0.262751
26.049002,0.008000,1.770020,-0.057647,15.062224,-0.263212
26.058001,0.009000,1.831055,0.003389,15.078704,-0.263182
26.066002,0.008000,1.831055,0.003389,15.093352,-0.263155
26.075001,0.009000,1.770020,-0.057647,15.109282,-0.263674
26.083002,0.008000,1.770020,-0.057647,15.123443,-0.264135
26.092001,0.009000,1.708984,-0.118682,15.138824,-0.265203
26.100000,0.008000,1.770020,-0.057647,15.152984,-0.265664
26.109001,0.009000,1.770020,-0.057647,15.168914,-0.266183
26.117001,0.008000,1.770020,-0.057647,15.183074,-0.266644
26.126001,0.009000,1.770020,-0.057647,15.199004,-0.267163
26.134001,0.008000,1.831055,0.003389,15.213653,-0.267136
26.142002,0.008000,1.831055,0.003389,15.228301,-0.267109
26.151001,0.009000,1.892090,0.064424,15.245330,-0.266529
26.159000,0.008000,1.770020,-0.057647,15.259490,-0.266990
26.168001,0.009000,1.770020,-0.057647,15.275420,-0.267509
26.176001,0.008000,1.770020,-0.057647,15.289580,-0.267970
26.185001,0.009000,1.708984,-0.118682,15.304961,-0.269038
26.193001,0.008000,1.831055,0.003389,15.319610,-0.269011
27.132002,0.010000,1.892090,0.064424,15.338531,-0.268367
27.140001,0.007976,1.770020,-0.057647,15.352648,-0.268827
27.149002,0.009000,1.770020,-0.057647,15.368578,-0.269345
27.157001,0.008000,1.708984,-0.118682,15.382250,-0.270295
27.166000,0.009000,1.708984,-0.118682,15.397631,-0.271363
27.174002,0.008000,1.647949,-0.179717,15.410814,-0.272801
27.182001,0.008000,1.708984,-0.118682,15.424486,-0.273750
27.191002,0.009000,1.892090,0.064424,15.441515,-0.273170
27.199001,0.008000,1.892090,0.064424,15.456652,-0.272655
27.208002,0.009000,1.770020,-0.057647,15.472582,-0.273174
27.216002,0.008000,1.770020,-0.057647,15.486742,-0.273635
27.225000,0.009000,1.770020,-0.057647,15.502672,-0.274154
27.233002,0.008000,1.708984,-0.118682,15.516344,-0.275103
27.242001,0.009000,1.770020,-0.057647,15.532274,-0.275622
27.250002,0.008000,1.770020,-0.057647,15.546434,-0.276083
27.259001,0.009000,1.770020,-0.057647,15.562365,-0.276602
27.267002,0.008000,1.708984,-0.118682,15.576036,-0.277551
27.276001,0.009000,1.770020,-0.057647,15.591967,-0.278070
27.284000,0.008000,1.770020,-0.057647,15.606127,-0.278531
27.292002,0.008000,1.770020,-0.057647,15.620287,-0.278993
27.301001,0.009000,1.770020,-0.057647,15.636217,-0.279511
27.309002,0.008000,1.770020,-0.057647,15.650377,-0.279973
27.318001,0.009000,1.831055,0.003389,15.666857,-0.279942
27.326002,0.008000,1.831055,0.003389,15.681505,-0.279915
27.335001,0.009000,1.892090,0.064424,15.698534,-0.279335
27.343000,0.008000,1.770020,-0.057647,15.712694,-0.279796
27.352001,0.009000,1.770020,-0.057647,15.728624,-0.280315
27.360001,0.008000,1.953125,0.125459,15.744249,-0.279311
27.369001,0.009000,1.831055,0.003389,15.760729,-0.279281
27.377001,0.008000,1.770020,-0.057647,15.774889,-0.279742
27.385002,0.008000,1.770020,-0.057647,15.789049,-0.280203
27.394001,0.009000,1.708984,-0.118682,15.804430,-0.281271
27.402000,0.008000,1.770020,-0.057647,15.818590,-0.281733
27.411001,0.009000,1.647949,-0.179717,15.833422,-0.283350
27.419001,0.008000,1.831055,0.003389,15.848070,-0.283323
27.428001,0.009000,1.770020,-0.057647,15.864000,-0.283842
27.436001,0.008000,1.708984,-0.118682,15.877672,-0.284791
27.445002,0.009000,1.770020,-0.057647,15.893602,-0.285310
27.453001,0.008000,1.770020,-0.057647,15.907763,-0.285771
27.462002,0.009000,1.770020,-0.057647,15.923693,-0.286290
27.470001,0.008000,1.770020,-0.057647,15.937853,-0.286751
27.478001,0.008000,1.647949,-0.179717,15.951036,-0.288189
27.487001,0.009000,1.708984,-0.118682,15.966417,-0.289257
27.495001,0.008000,1.770020,-0.057647,15.980577,-0.289718
27.504002,0.009000,1.770020,-0.057647,15.996508,-0.290237
27.512001,0.008000,1.708984,-0.118682,16.010180,-0.291187
27.521002,0.009000,1.831055,0.003389,16.026659,-0.291156
27.529001,0.008000,1.831055,0.003389,16.041307,-0.291129
27.538002,0.009000,1.708984,-0.118682,16.056688,-0.292197
27.546001,0.008000,1.831055,0.003389,16.071337,-0.292170

--- CSV DUMP END ---

